cve_muni,entidad,municipio,ic_rezedu_porcentaje,ic_asalud_porcentaje,ic_segsoc_porcentaje,ic_cv_porcentaje,ic_sbv_porcentaje,ic_ali_porcentaje
07032,Chiapas,Escuintla,29.4789078285,19.3939053854,87.1547827993,27.6066462147,60.7981456436,24.9050608545
07033,Chiapas,Francisco León,35.832197486,10.2983492352,94.4873542329,30.3498409814,90.6557625322,29.728911101
07034,Chiapas,Frontera Comalapa,35.5745927548,18.329023417,90.8660656633,19.231805291,69.8598409337,32.7884686477
07035,Chiapas,Frontera Hidalgo,28.3539707545,25.4474391567,86.1992642421,31.9942179824,80.2515043059,36.9715676132
07036,Chiapas,La Grandeza,29.6546052632,10.9375,84.3256578947,36.6282894737,47.6151315789,8.9638157895
07037,Chiapas,Huehuetán,27.5152725857,24.8693208352,81.4001887663,31.9117979225,80.1370037607,13.6882854036
07038,Chiapas,Huixtán,35.6307464316,10.6426973036,90.4085160103,39.2672131556,85.6868641648,38.2512770607
07039,Chiapas,Huitiupán,38.9127191776,9.1051382314,87.6613081162,48.9631467982,85.6594720238,21.7927629329
07040,Chiapas,Huixtla,25.5768822574,24.8177085543,73.898156416,27.0874435145,44.8954152458,14.6661803619
07041,Chiapas,La Independencia,46.8069016754,8.324449574,94.110694539,16.2254276901,81.1251748944,26.0987516449
07042,Chiapas,Ixhuatán,32.7318523073,6.5746400044,93.5429575351,24.4879042467,62.2264596802,27.0188410354
07043,Chiapas,Ixtacomitán,24.5812736102,19.6791133771,89.1238782841,22.6174318652,58.2719800461,19.1548689181
07044,Chiapas,Ixtapa,33.1614128869,16.4686557936,86.53155261,28.8569031794,69.806362703,36.063810131
07045,Chiapas,Ixtapangajoya,36.6056572379,6.4683860233,91.1605657238,29.346921797,86.6888519135,21.734608985
07046,Chiapas,Jiquipilas,30.5353985994,15.7390440047,84.79006548,20.0378142536,59.368852299,33.2540761638
07047,Chiapas,Jitotol,31.0170295777,29.3720672747,89.5133653187,38.6460694891,71.3766014657,26.7517266832
07048,Chiapas,Juárez,28.0008934599,12.790746253,89.4652348392,17.4972279285,53.388875476,24.6151644379
07049,Chiapas,Larráinzar,36.6666666667,12.6411657559,95.8196721311,47.8597449909,61.0974499089,14.0528233151
07050,Chiapas,La Libertad,29.9640610961,38.4546271339,85.5570530099,19.3620844564,72.2596585804,23.8544474394
07051,Chiapas,Mapastepec,33.6936640094,22.3076800004,88.6040663304,25.9236187162,65.0068518579,25.0863019126
07052,Chiapas,Las Margaritas,41.3454548552,16.21848682,92.9681776114,24.2679554698,74.6616428654,22.7604403003
07053,Chiapas,Mazapa de Madero,36.8041237113,9.970544919,85.9793814433,27.8792341679,30.0147275405,5.0662739323
07054,Chiapas,Mazatán,28.0310216623,15.4257302192,81.968211861,42.7734007845,79.7699282397,31.2238767538
07055,Chiapas,Metapa,23.1182795699,23.9055299539,68.0683563748,26.3632872504,55.3187403994,17.1082949309
07056,Chiapas,Mitontic,50.1819174095,9.6871020557,82.0356558123,44.9881753684,90.3401855558,11.3243587411
07057,Chiapas,Motozintla,30.7518233939,20.3834072826,84.9482951083,28.7388263087,27.6647486215,15.2801122197
07058,Chiapas,Nicolás Ruíz,43.272635306,7.9160343955,95.6752655539,53.186646434,80.7030854831,54.0212443096
