film,year,release_date,mpaa,imdb_score,metacritic_score,rt_audience_score,rt_critic_score,bo,budget,running_time,stars_count,aabd,dga,noms,ggbp,winner
Room,2015,2016-01-22,R,8.2,86,93,94,36.3,13,118,5,1,0,11,0,0
Spotlight,2015,2015-11-20,R,8.1,93,93,97,92.2,20,129,6,1,0,10,0,1
The Big Short,2015,2015-12-23,R,7.8,81,87,88,133.4,28,130,4,1,0,13,0,0
The Martian,2015,2015-10-02,PG-13,8,80,91,91,630.2,108,141,11,0,0,6,1,0
The Revenant,2015,2016-01-08,R,8,76,84,80,533,135,156,4,1,1,8,1,0
Arrival,2016,2016-11-11,PG-13,7.9,81,82,94,203.4,47,116,5,1,0,9,0,0
Fences,2016,2016-12-25,PG-13,7.2,79,75,94,64.4,24,139,7,0,0,8,0,0
Hacksaw Ridge,2016,2016-11-04,R,8.2,71,91,86,175.3,40,139,7,1,0,7,0,0
Hell or High Water,2016,2016-08-26,R,7.6,88,88,97,37.9,12,102,4,0,0,8,0,0
Hidden Figures,2016,2017-01-06,PG,7.8,74,93,93,236,25,127,6,0,0,6,0,0
La La Land,2016,2016-12-25,PG-13,8.1,93,81,92,446.1,30,128,4,1,1,14,1,0
Lion,2016,2017-01-06,PG-13,8.1,69,91,86,140.3,12,118,5,0,0,10,0,0
Manchester by the Sea,2016,2016-12-16,R,7.9,96,77,95,77.7,8.5,137,4,1,0,16,0,0
Moonlight,2016,2016-11-18,R,7.5,99,79,98,65,1.54,111,7,1,0,15,1,1
Call Me by Your Name,2017,2018-01-19,R,8.1,93,86,96,29.4,3.5,132,6,0,0,10,0,NA
Darkest Hour,2017,2017-12-22,PG-13,7.4,75,83,86,136.2,30,125,6,0,0,6,0,NA
Dunkirk,2017,2017-07-21,PG-13,8,94,81,93,525.6,100,106,11,1,0,5,0,NA
Get Out,2017,2017-02-24,R,7.7,84,87,99,255,4.5,103,7,1,0,8,0,NA
Lady Bird,2017,2017-12-01,R,7.6,94,80,99,53.4,10,93,8,1,0,13,1,NA
Phantom Thread,2017,2018-01-19,R,7.8,90,70,91,34,35,130,3,1,0,5,0,NA
The Post,2017,2018-01-12,PG-13,7.3,83,73,88,146.6,50,116,8,0,0,6,0,NA
The Shape of Water,2017,2017-12-22,R,7.7,87,77,92,114.3,19.5,123,6,1,1,15,0,NA
"Three Billboards Outside Ebbing, Missouri",2017,2017-12-01,R,8.3,88,87,92,123.6,12,115,6,0,0,16,1,NA
